-----根进度图片-----,---根进度图片--
bedrock,基岩
bone_block_side,骨块侧面
bookshelf,书架
brewing_stand_base,酿造台
brick,砖块
chorus_flower,紫颂花
chorus_flower_dead,死亡的紫颂花
chorus_plant,紫颂花茎部
clay,粘土
coal_block,煤炭块
coal_ore,煤矿石
coarse_dirt,砂土
cobblestone,圆石
concrete_black,黑色混凝土
concrete_blue,蓝色混凝土
concrete_brown,棕色混凝土
concrete_cyan,青色混凝土
concrete_gray,灰色混凝土
concrete_green,绿色混凝土
concrete_light_blue,淡蓝色混凝土
concrete_lime,橙色混凝土
concrete_magenta,品红色混凝土
concrete_orange,橙色混凝土
concrete_pink,粉色混凝土
concrete_powder_black,黑色混凝土粉末
concrete_powder_blue,蓝色混凝土粉末
concrete_powder_brown,棕色混凝土粉末
concrete_powder_cyan,青色混凝土粉末
concrete_powder_gray,灰色混凝土粉末
concrete_powder_green,绿色混凝土粉末
concrete_powder_light_blue,淡蓝色混凝土粉末
concrete_powder_lime,黄绿色混凝土粉末
concrete_powder_magenta,品红色混凝土粉末
concrete_powder_orange,橙色混凝土粉末
concrete_powder_pink,粉色混凝土粉末
concrete_powder_purple,紫色混凝土粉末
concrete_powder_red,红色混凝土粉末
concrete_powder_silver,灰色混凝土粉末
concrete_powder_white,白色混凝土粉末
concrete_powder_yellow,黄色混凝土粉末
concrete_purple,紫色混凝土
concrete_red,红色混凝土
concrete_silver,灰色混凝土
concrete_white,白色混凝土
concrete_yellow,黄色混凝土
crafting_table_front,工作台正面
crafting_table_side,工作台侧面
diamond_block,钻石块
diamond_ore,钻石矿石
dirt,泥土
dirt_podzol_side,灰化土侧面
dirt_podzol_top,灰化土顶面
dragon_egg,龙蛋
dropper_front_horizontal,水平漏斗正面
dropper_front_vertical,垂直漏斗正面
emerald_block,绿宝石块
emerald_ore,绿宝石矿石
enchanting_table_bottom,附魔台底面
end_bricks,末地砖
end_stone,末地石
farmland_dry,干耕地
farmland_wet,湿耕地
frosted_ice_0,霜冰0
frosted_ice_1,霜冰1
frosted_ice_2,霜冰2
frosted_ice_3,霜冰3
furnace_front_off,熔炉熄灭时正面
furnace_front_on,熔炉燃烧时正面
furnace_side,熔炉侧面
glass,玻璃
glass_black,黑色染色玻璃
glass_blue,蓝色染色玻璃
glass_brown,棕色染色玻璃
glass_cyan,青色染色玻璃
glass_gray,灰色染色玻璃
glass_green,绿色染色玻璃
glass_light_blue,淡蓝色染色玻璃
glass_lime,黄绿色染色玻璃
glass_magenta,品红色染色玻璃
glass_orange,橙色染色玻璃
glass_pink,粉色染色玻璃
glass_purple,紫色染色玻璃
glass_red,红色染色玻璃
glass_silver,灰色染色玻璃
glass_white,白色染色玻璃
glass_yellow,黄色染色玻璃
glazed_terracotta_black,黑色带釉陶瓦
glazed_terracotta_blue,蓝色带釉陶瓦
glazed_terracotta_brown,棕色带釉陶瓦
glazed_terracotta_cyan,青色带釉陶瓦
glazed_terracotta_gray,灰色带釉陶瓦
glazed_terracotta_green,绿色带釉陶瓦
glazed_terracotta_light_blue,淡蓝色带釉陶瓦
glazed_terracotta_lime,黄绿色带釉陶瓦
glazed_terracotta_magenta,品红色带釉陶瓦
glazed_terracotta_orange,橙色带釉陶瓦
glazed_terracotta_pink,粉色带釉陶瓦
glazed_terracotta_purple,紫色带釉陶瓦
glazed_terracotta_red,红色带釉陶瓦
glazed_terracotta_silver,灰色带釉陶瓦
glazed_terracotta_white,白色带釉陶瓦
glazed_terracotta_yellow,黄色带釉陶瓦
glowstone,萤石
gold_block,金块
gold_ore,金矿石
grass_path_side,路径侧面
grass_path_top,路径顶面
grass_side,草方块侧面
grass_side_snowed,有积雪的草方块侧面
grass_top,草方块顶面
gravel,沙砾
hardened_clay,陶瓦
hardened_clay_stained_black,黑色陶瓦
hardened_clay_stained_blue,蓝色陶瓦
hardened_clay_stained_brown,棕色陶瓦
hardened_clay_stained_cyan,青色陶瓦
hardened_clay_stained_gray,灰色陶瓦
hardened_clay_stained_green,绿色陶瓦
hardened_clay_stained_light_blue,淡蓝色陶瓦
hardened_clay_stained_lime,黄绿色陶瓦
hardened_clay_stained_magenta,品红色陶瓦
hardened_clay_stained_orange,橙色陶瓦
hardened_clay_stained_pink,粉色陶瓦
hardened_clay_stained_purple,紫色陶瓦
hardened_clay_stained_red,红色陶瓦
hardened_clay_stained_silver,灰色陶瓦
hardened_clay_stained_white,白色陶瓦
hardened_clay_stained_yellow,黄色陶瓦
hay_block_side,干草块侧面
hay_block_top,干草块顶面
hopper_inside,漏斗内部
hopper_outside,漏斗外部
ice,冰
ice_packed,浮冰
iron_block,铁块
iron_ore,铁矿石
jukebox_side,唱片机侧面
lapis_block,青金石块
lapis_ore,青金石矿石
log_acacia,金合欢木
log_acacia_top,金合欢木顶面
log_big_oak,深色橡木
log_big_oak_top,深色橡木顶面
log_birch,白桦木
log_birch_top,白桦木顶面
log_jungle,从林木
log_jungle_top,从林木顶面
log_oak,橡木
log_oak_top,橡木顶面
log_spruce,云杉木
log_spruce_top,云杉木顶面
melon_side,西瓜侧面
mob_spawner,刷怪笼
mushroom_block_inside,巨型蘑菇内部
mushroom_block_skin_brown,棕色巨型蘑菇外部
mushroom_block_skin_red,红色巨型蘑菇外部
mushroom_block_skin_stem,巨型蘑菇杆
mycelium_side,菌丝侧面
mycelium_top,菌丝顶面
nether_brick,地狱砖
nether_wart_block,地狱疣块
netherrack,地狱岩
noteblock,音符盒
observer_front,侦测器正面
piston_side,活塞侧面
planks_acacia,金合欢木板
planks_big_oak,深色橡木木板
planks_birch,白桦木板
planks_jungle,丛林木板
planks_oak,橡木木板
planks_spruce,云杉木板
prismarine_bricks,海晶石砖
prismarine_dark,暗海晶石
pumpkin_face_off,灭的南瓜灯
pumpkin_face_on,亮的南瓜灯
pumpkin_side,南瓜侧面
pumpkin_top,南瓜顶面
purpur_block,紫珀块
purpur_pillar,竖纹紫珀块
purpur_pillar_top,竖纹紫珀块顶面
quartz_block_bottom,石英块底面
quartz_block_chiseled,錾制石英块
quartz_block_chiseled_top,錾制石英块顶面
quartz_block_lines,竖纹石英块
quartz_block_lines_top,竖纹石英块顶面
quartz_block_side,石英块侧面
quartz_block_top,石英块顶面
red_nether_brick,红色地狱砖
red_sand,红沙
red_sandstone_bottom,红砂岩底面
red_sandstone_carved,錾制红砂岩
red_sandstone_normal,红砂岩
red_sandstone_smooth,平滑红砂岩
red_sandstone_top,红砂岩顶面
redstone_block,红石块
redstone_dust_overlay,红石线
redstone_lamp_off,红石灯-关
redstone_lamp_on,红石灯-亮
redstone_ore,红石矿石
sand,沙子
sandstone_bottom,砂岩底面
sandstone_carved,錾制砂岩
sandstone_normal,砂岩
sandstone_smooth,平滑砂岩
sandstone_top,砂岩顶面
shulker_top_black,黑色潜影盒
shulker_top_blue,蓝色潜影盒
shulker_top_brown,棕色潜影盒
shulker_top_cyan,青色潜影盒
shulker_top_gray,灰色潜影盒
shulker_top_green,绿色潜影盒
shulker_top_light_blue,淡蓝色潜影盒
shulker_top_lime,黄绿色潜影盒
shulker_top_magenta,品红色潜影盒
shulker_top_orange,橙色潜影盒
shulker_top_pink,粉色潜影盒
shulker_top_purple,紫色潜影盒
shulker_top_red,红色潜影盒
shulker_top_silver,灰色潜影盒
shulker_top_white,白色潜影盒
shulker_top_yellow,黄色潜影盒
slime,粘液块
snow,雪
soul_sand,灵魂沙
sponge,干海绵
sponge_wet,湿海绵
stone,石头
stone_andesite,安山岩
stone_andesite_smooth,磨制安山岩
stone_diorite,闪长岩
stone_diorite_smooth,磨制闪长岩
stone_granite,花岗岩
stone_granite_smooth,磨制花岗岩
stone_slab_side,石台阶侧面
stone_slab_top,石台阶顶面
stonebrick,石砖
stonebrick_carved,錾制石砖
stonebrick_cracked,裂石砖
stonebrick_mossy,苔石砖
tnt_side,TNT侧面
wool_colored_black,黑色羊毛
wool_colored_blue,蓝色羊毛
wool_colored_brown,棕色羊毛
wool_colored_cyan,青色羊毛
wool_colored_gray,灰色羊毛
wool_colored_green,绿色羊毛
wool_colored_light_blue,淡蓝色羊毛
wool_colored_lime,黄绿色羊毛
wool_colored_magenta,品红色羊毛
wool_colored_orange,橙色羊毛
wool_colored_pink,粉色羊毛
wool_colored_purple,紫色羊毛
wool_colored_red,红色羊毛
wool_colored_silver,灰色羊毛
wool_colored_white,白色羊毛
wool_colored_yellow,黄色羊毛
-----配方列表-----,-----配方列表-----
minecraft:acacia_boat,金合欢船
minecraft:acacia_door,金合欢门
minecraft:acacia_fence,金合欢栅栏
minecraft:acacia_fence_gate,金合欢栅栏门
minecraft:acacia_planks,金合欢木板
minecraft:acacia_stairs,金合欢楼梯
minecraft:acacia_wooden_slab,金合欢台阶侧面
minecraft:activator_rail,激活铁轨
minecraft:andesite,安山岩
minecraft:anvil,铁砧
minecraft:armor_stand,盔甲架
minecraft:armordye,染色皮革护甲
minecraft:arrow,箭
minecraft:banneraddpattern,向旗帜添加图案
minecraft:bannerduplicate,复制一个旗帜
minecraft:beacon,信标
minecraft:beetroot_soup,甜菜汤
minecraft:birch_boat,白桦木船
minecraft:birch_door,白桦木门
minecraft:birch_fence,白桦栅栏
minecraft:birch_fence_gate,白桦栅栏门
minecraft:birch_planks,白桦木板
minecraft:birch_stairs,白桦楼梯
minecraft:birch_wooden_slab,白桦台阶
minecraft:black_banner,黑旗帜
minecraft:black_bed,黑色床
minecraft:black_bed_from_white_bed,把白色床染色成黑色床
minecraft:black_carpet,黑色羊毛地毯
minecraft:black_concrete_powder,黑色混凝土粉末
minecraft:black_stained_glass,黑色染色玻璃
minecraft:black_stained_glass_pane,黑色染色玻璃板
minecraft:black_stained_hardened_clay,黑色陶瓦
minecraft:black_wool,黑色羊毛
minecraft:blaze_powder,烈焰粉
minecraft:blue_banner,蓝色旗帜
minecraft:blue_bed,蓝色床
minecraft:blue_bed_from_white_bed,把白色床染色成蓝色床
minecraft:blue_carpet,蓝色地毯
minecraft:blue_concrete_powder,蓝色混凝土粉末
minecraft:blue_stained_glass,蓝色染色玻璃
minecraft:blue_stained_glass_pane,蓝色染色玻璃板
minecraft:blue_stained_hardened_clay,蓝色陶瓦
minecraft:blue_wool,蓝色羊毛
minecraft:boat,船
minecraft:bone_block,骨块
minecraft:bone_meal_from_block,用骨块制作骨粉
minecraft:bone_meal_from_bone,用骨头制作骨粉
minecraft:book,书
minecraft:bookcloning,复制一本书
minecraft:bookshelf,书架
minecraft:bow,弓
minecraft:bowl,碗
minecraft:bread,面包
minecraft:brewing_stand,酿造台
minecraft:brick_block,骨块
minecraft:brick_slab,石砖台阶
minecraft:brick_stairs,石砖楼梯
minecraft:brown_banner,棕色旗帜
minecraft:brown_bed,棕色床
minecraft:brown_bed_from_white_bed,把白色床染色成棕色床
minecraft:brown_carpet,棕色地毯
minecraft:brown_concrete_powder,棕色混凝土粉末
minecraft:brown_stained_glass,棕色玻璃
minecraft:brown_stained_glass_pane,棕色玻璃板
minecraft:brown_stained_hardened_clay,棕色陶瓦
minecraft:brown_wool,棕色羊毛
minecraft:bucket,桶
minecraft:cake,蛋糕
minecraft:carrot_on_a_stick,胡萝卜钓竿
minecraft:cauldron,炼药锅
minecraft:chest,箱子
minecraft:chest_minecart,箱子矿车
minecraft:chiseled_quartz_block,錾制石英块
minecraft:chiseled_red_sandstone,錾制红砂岩
minecraft:chiseled_sandstone,錾制砂岩
minecraft:chiseled_stonebrick,錾制石砖
minecraft:clay,粘土
minecraft:clock,钟
minecraft:coal,煤炭
minecraft:coal_block,煤炭块
minecraft:coarse_dirt,砂土
minecraft:cobblestone_slab,圆石台阶
minecraft:cobblestone_wall,圆石墙
minecraft:comparator,红石比较器
minecraft:compass,指南针
minecraft:cookie,饼干
minecraft:crafting_table,工作台
minecraft:cyan_banner,青色旗帜
minecraft:cyan_bed,青色床
minecraft:cyan_bed_from_white_bed,把白色床染色成青色床
minecraft:cyan_carpet,青色地毯
minecraft:cyan_concrete_powder,青色混凝土粉末
minecraft:cyan_dye,青色染料
minecraft:cyan_stained_glass,青色染色玻璃
minecraft:cyan_stained_glass_pane,青色染色玻璃板
minecraft:cyan_stained_hardened_clay,青色陶瓦
minecraft:cyan_wool,青色羊毛
minecraft:dark_oak_boat,深色橡木船
minecraft:dark_oak_door,深色橡木门
minecraft:dark_oak_fence,深色橡木栅栏
minecraft:dark_oak_fence_gate,深色橡木栅栏门
minecraft:dark_oak_planks,深色橡木木板
minecraft:dark_oak_stairs,深色橡木楼梯
minecraft:dark_oak_wooden_slab,深色橡木台阶
minecraft:dark_prismarine,暗海晶石
minecraft:daylight_detector,阳光传感器
minecraft:detector_rail,探测铁轨
minecraft:diamond,钻石
minecraft:diamond_axe,钻石斧
minecraft:diamond_block,钻石块
minecraft:diamond_boots,钻石靴子
minecraft:diamond_chestplate,钻石胸甲
minecraft:diamond_helmet,钻石头盔
minecraft:diamond_hoe,钻石锄头
minecraft:diamond_leggings,钻石护腿
minecraft:diamond_pickaxe,钻石镐
minecraft:diamond_shovel,钻石锹
minecraft:diamond_sword,钻石剑
minecraft:diorite,闪长岩
minecraft:dispenser,发射器
minecraft:dropper,漏斗
minecraft:emerald,绿宝石
minecraft:emerald_block,绿宝石块
minecraft:enchanting_table,附魔台
minecraft:end_bricks,末地砖
minecraft:end_crystal,末影水晶
minecraft:end_rod,末地烛
minecraft:ender_chest,末影箱
minecraft:ender_eye,末影之眼
minecraft:fence,栅栏
minecraft:fence_gate,栅栏门
minecraft:fermented_spider_eye,发酵蜘蛛眼
minecraft:fire_charge,火焰弹
minecraft:fireworks,烟花
minecraft:fishing_rod,钓鱼竿
minecraft:flint_and_steel,打火石
minecraft:flower_pot,花盆
minecraft:furnace,熔炉
minecraft:furnace_minecart,动力矿车
minecraft:glass_bottle,玻璃瓶
minecraft:glass_pane,玻璃板
minecraft:glowstone,荧石
minecraft:gold_block,金块
minecraft:gold_ingot_from_block,用金块制作金锭
minecraft:gold_ingot_from_nuggets,用金粒制作金锭
minecraft:gold_nugget,金粒
minecraft:golden_apple,金苹果
minecraft:golden_axe,金斧
minecraft:golden_boots,金靴子
minecraft:golden_carrot,金胡萝卜
minecraft:golden_chestplate,金胸甲
minecraft:golden_helmet,金头盔
minecraft:golden_hoe,金锄
minecraft:golden_leggings,金护腿
minecraft:golden_pickaxe,金镐
minecraft:golden_rail,动力铁轨
minecraft:golden_shovel,金锹
minecraft:golden_sword,金剑
minecraft:granite,花岗岩
minecraft:gray_banner,灰色旗帜
minecraft:gray_bed,灰色床
minecraft:gray_bed_from_white_bed,把白色床染色成灰色床
minecraft:gray_carpet,灰色地毯
minecraft:gray_concrete_powder,灰色混凝土粉末
minecraft:gray_dye,灰色染料
minecraft:gray_stained_glass,灰色染色玻璃
minecraft:gray_stained_glass_pane,灰色染色玻璃板
minecraft:gray_stained_hardened_clay,灰色陶瓦
minecraft:gray_wool,灰色羊毛
minecraft:green_banner,绿色旗帜
minecraft:green_bed,绿色床
minecraft:green_bed_from_white_bed,把白色床染色成绿色床
minecraft:green_carpet,绿色地毯
minecraft:green_concrete_powder,绿色混凝土粉末
minecraft:green_stained_glass,绿色染色玻璃
minecraft:green_stained_glass_pane,绿色染色玻璃板
minecraft:green_stained_hardened_clay,绿色陶瓦
minecraft:green_wool,绿色羊毛
minecraft:hay_block,干草块
minecraft:heavy_weighted_pressure_plate,压力板(重质)
minecraft:hopper,漏斗
minecraft:hopper_minecart,漏斗矿车
minecraft:iron_axe,铁斧
minecraft:iron_bars,铁栏杆
minecraft:iron_block,铁块
minecraft:iron_boots,铁靴子
minecraft:iron_chestplate,铁胸甲
minecraft:iron_door,铁门
minecraft:iron_helmet,铁头盔
minecraft:iron_hoe,铁锄
minecraft:iron_ingot_from_block,用铁块制作铁锭
minecraft:iron_ingot_from_nuggets,用铁锭制作铁粒
minecraft:iron_leggings,铁护腿
minecraft:iron_nugget,铁粒
minecraft:iron_pickaxe,铁镐
minecraft:iron_shovel,铁锹
minecraft:iron_sword,铁剑
minecraft:iron_trapdoor,铁活板门
minecraft:item_frame,物品展示框
minecraft:jukebox,唱片机
minecraft:jungle_boat,从林木船
minecraft:jungle_door,从林木门
minecraft:jungle_fence,从林木栅栏
minecraft:jungle_fence_gate,从林木栅栏门
minecraft:jungle_planks,从林木板
minecraft:jungle_stairs,从林木楼梯
minecraft:jungle_wooden_slab,从林木台阶
minecraft:ladder,梯子
minecraft:lapis_block,青金石块
minecraft:lapis_lazuli,青金石
minecraft:lead,拴绳
minecraft:leather,皮革
minecraft:leather_boots,皮革靴子
minecraft:leather_chestplate,皮革胸甲
minecraft:leather_helmet,皮革头盔
minecraft:leather_leggings,皮革护腿
minecraft:lever,拉杆
minecraft:light_blue_banner,淡蓝色旗帜
minecraft:light_blue_bed,淡淡蓝色床
minecraft:light_blue_bed_from_white_bed,把白色床染色成淡蓝色床
minecraft:light_blue_carpet,淡蓝色地毯
minecraft:light_blue_concrete_powder,淡蓝色混凝土粉末
minecraft:light_blue_dye_from_blue_orchid,用兰花制作淡蓝色染料
minecraft:light_blue_dye_from_lapis_bonemeal,用青金石和骨粉制作淡蓝色染料
minecraft:light_blue_stained_glass,淡蓝色玻璃
minecraft:light_blue_stained_glass_pane,淡蓝色玻璃板
minecraft:light_blue_stained_hardened_clay,淡蓝色陶瓦
minecraft:light_blue_wool,淡蓝色羊毛
minecraft:light_gray_banner,淡蓝色旗帜
minecraft:light_gray_bed,淡蓝色床
minecraft:light_gray_bed_from_white_bed,把白色床染色成淡灰色床
minecraft:light_gray_carpet,淡灰色地毯
minecraft:light_gray_concrete_powder,淡灰色混凝土粉末
minecraft:light_gray_dye_from_azure_bluet,用滨菊制作淡灰色染料
minecraft:light_gray_dye_from_gray_bonemeal,把灰色染料和骨粉做成淡灰色染料
minecraft:light_gray_dye_from_ink_bonemeal,用墨囊和骨粉制作淡灰色染料
minecraft:light_gray_dye_from_oxeye_daisy,用茜草花做淡灰色染料
minecraft:light_gray_dye_from_white_tulip,用白色郁金香制作淡灰色颜料
minecraft:light_gray_stained_glass,淡灰色染色玻璃
minecraft:light_gray_stained_glass_pane,淡灰色玻璃板
minecraft:light_gray_stained_hardened_clay,淡灰色陶瓦
minecraft:light_gray_wool,淡灰色羊毛
minecraft:light_weighted_pressure_plate,压力板(轻质)
minecraft:lime_banner,黄绿色旗帜
minecraft:lime_bed,黄绿色床
minecraft:lime_bed_from_white_bed,把白色床染色成黄绿色床
minecraft:lime_carpet,黄绿色地毯
minecraft:lime_concrete_powder,黄绿色混凝土粉末
minecraft:lime_dye,黄绿色染料
minecraft:lime_stained_glass,黄绿色染色玻璃
minecraft:lime_stained_glass_pane,黄绿色染色玻璃板
minecraft:lime_stained_hardened_clay,黄绿色陶瓦
minecraft:lime_wool,黄绿色羊毛
minecraft:lit_pumpkin,南瓜灯
minecraft:magenta_banner,品红色旗帜
minecraft:magenta_bed,品红色床
minecraft:magenta_bed_from_white_bed,把白色床染色成品红色床
minecraft:magenta_carpet,品红色地毯
minecraft:magenta_concrete_powder,品红色混凝土粉末
minecraft:magenta_dye_from_allium,用绒球葱制作品红染料
minecraft:magenta_dye_from_lapis_ink_bonemeal,用墨囊、骨粉和青金石制作品红染料
minecraft:magenta_dye_from_lapis_red_pink,用青金石、红色染料和粉红色染料制作品红染料
minecraft:magenta_dye_from_lilac,用欧丁香制作品红染料
minecraft:magenta_dye_from_purple_and_pink,用紫色染料和粉色染料制作品红染料
minecraft:magenta_stained_glass,品红玻璃
minecraft:magenta_stained_glass_pane,品红玻璃板
minecraft:magenta_stained_hardened_clay,品红陶瓦
minecraft:magenta_wool,品红羊毛
minecraft:magma,岩浆块
minecraft:magma_cream,岩浆膏
minecraft:map,地图
minecraft:mapcloning,复制一个地图
minecraft:mapextending,扩大地图范围
minecraft:melon_block,西瓜
minecraft:melon_seeds,西瓜种子
minecraft:minecart,矿车
minecraft:mossy_cobblestone,苔石
minecraft:mossy_cobblestone_wall,苔石墙
minecraft:mossy_stonebrick,苔石砖
minecraft:mushroom_stew,蘑菇煲
minecraft:nether_brick,地狱砖
minecraft:nether_brick_fence,地狱砖栅栏
minecraft:nether_brick_slab,地狱砖台阶
minecraft:nether_brick_stairs,地狱砖楼梯
minecraft:nether_wart_block,地狱疣块
minecraft:noteblock,音符盒
minecraft:oak_planks,橡木木板
minecraft:oak_stairs,橡木楼梯
minecraft:oak_wooden_slab,橡木台阶
minecraft:observer,侦测器
minecraft:orange_banner,橙色旗帜
minecraft:orange_bed,橙色床
minecraft:orange_bed_from_white_bed,把白色床染色成橙色床
minecraft:orange_carpet,橙色地毯
minecraft:orange_concrete_powder,橙色混凝土粉末
minecraft:orange_dye_from_orange_tulip,用橙色郁金香制作橙色染料
minecraft:orange_dye_from_red_yellow,用红色染料和黄色染料制作橙色染料
minecraft:orange_stained_glass,橙色染色玻璃
minecraft:orange_stained_glass_pane,橙色染色玻璃板
minecraft:orange_stained_hardened_clay,橙色陶瓦
minecraft:orange_wool,橙色羊毛
minecraft:painting,画
minecraft:paper,纸
minecraft:pillar_quartz_block,竖纹石英块
minecraft:pink_banner,粉色旗帜
minecraft:pink_bed,粉色床
minecraft:pink_bed_from_white_bed,把白色床染色成粉色床
minecraft:pink_carpet,粉色地毯
minecraft:pink_concrete_powder,粉色混凝土粉末
minecraft:pink_dye_from_peony,用牡丹制作粉色染料
minecraft:pink_dye_from_pink_tulip,用粉色郁金香制作粉色染料
minecraft:pink_dye_from_red_bonemeal,用骨粉和红色染料做粉色染料
minecraft:pink_stained_glass,粉色玻璃
minecraft:pink_stained_glass_pane,粉色玻璃板
minecraft:pink_stained_hardened_clay,粉色陶瓦
minecraft:pink_wool,粉色羊毛
minecraft:piston,药水
minecraft:polished_andesite,磨制安山岩
minecraft:polished_diorite,磨制闪长岩
minecraft:polished_granite,磨制花岗岩
minecraft:prismarine,海晶块
minecraft:prismarine_bricks,海晶砖
minecraft:pumpkin_pie,南瓜派
minecraft:pumpkin_seeds,南瓜种子
minecraft:purple_banner,紫色旗帜
minecraft:purple_bed,紫色床
minecraft:purple_bed_from_white_bed,把白色床染色成紫色床
minecraft:purple_carpet,紫色地毯
minecraft:purple_concrete_powder,紫色混凝土粉末
minecraft:purple_dye,紫色染料
minecraft:purple_shulker_box,紫色潜影盒
minecraft:purple_stained_glass,紫色玻璃
minecraft:purple_stained_glass_pane,紫色玻璃板
minecraft:purple_stained_hardened_clay,紫色陶瓦
minecraft:purple_wool,紫色羊毛
minecraft:purpur_block,紫珀块
minecraft:purpur_pillar,竖纹紫珀块
minecraft:purpur_slab,紫珀块台阶
minecraft:purpur_stairs,紫珀块楼梯
minecraft:quartz_block,石英块
minecraft:quartz_slab,石英台阶
minecraft:quartz_stairs,石英楼梯
minecraft:rabbit_stew_from_brown_mushroom,用棕色蘑菇制作兔肉煲
minecraft:rabbit_stew_from_red_mushroom,用红色蘑菇制作兔肉煲
minecraft:rail,铁轨
minecraft:red_banner,红色旗帜
minecraft:red_bed,红色床
minecraft:red_bed_from_white_bed,把白色床染色成红色床
minecraft:red_carpet,红色地毯
minecraft:red_concrete_powder,红色混凝土粉末
minecraft:red_dye_from_beetroot,用甜菜根制作红色染料
minecraft:red_dye_from_poppy,用虞美人制作红色染料
minecraft:red_dye_from_rose_bush,用玫瑰丛制作红色染料
minecraft:red_dye_from_tulip,用红色郁金香制作红色染料
minecraft:red_nether_brick,红色地狱砖
minecraft:red_sandstone,红砂岩
minecraft:red_sandstone_slab,红砂岩台阶
minecraft:red_sandstone_stairs,红砂岩楼梯
minecraft:red_stained_glass,红色染色玻璃
minecraft:red_stained_glass_pane,红色染色玻璃板
minecraft:red_stained_hardened_clay,红色陶瓦
minecraft:red_wool,红色羊毛
minecraft:redstone,红石
minecraft:redstone_block,红石块
minecraft:redstone_lamp,红石灯
minecraft:redstone_torch,红石火把
minecraft:repairitem,修复工具
minecraft:repeater,中继器
minecraft:sandstone,砂岩
minecraft:sandstone_slab,砂岩台阶
minecraft:sandstone_stairs,砂岩楼梯
minecraft:sea_lantern,海晶灯
minecraft:shears,剪刀
minecraft:shield,盾
minecraft:shielddecoration,给盾染色
minecraft:shulkerboxcoloring,给潜影盒染色
minecraft:sign,告示牌
minecraft:slime,粘液块
minecraft:slime_ball,粘液球
minecraft:smooth_red_sandstone,平滑红砂岩
minecraft:smooth_sandstone,平滑砂岩
minecraft:snow,雪块
minecraft:snow_layer,雪片
minecraft:speckled_melon,闪烁的西瓜
minecraft:spectral_arrow,光灵箭
minecraft:spruce_boat,云杉木船
minecraft:spruce_door,云杉木门
minecraft:spruce_fence,云杉木栅栏
minecraft:spruce_fence_gate,云杉木栅栏门
minecraft:spruce_planks,云杉木板
minecraft:spruce_stairs,云杉木楼梯
minecraft:spruce_wooden_slab,云杉木台阶
minecraft:stick,木棍
minecraft:sticky_piston,粘性活塞
minecraft:stone_axe,石斧
minecraft:stone_brick_slab,石砖台阶
minecraft:stone_brick_stairs,石砖楼梯
minecraft:stone_button,石按钮
minecraft:stone_hoe,石锄
minecraft:stone_pickaxe,石镐
minecraft:stone_pressure_plate,石质压力板
minecraft:stone_shovel,石锹
minecraft:stone_slab,石台阶
minecraft:stone_stairs,石楼梯
minecraft:stone_sword,石剑
minecraft:stonebrick,石砖
minecraft:string_to_wool,用丝制作羊毛
minecraft:sugar,糖
minecraft:tippedarrow,药箭
minecraft:tnt,TNT
minecraft:tnt_minecart,TNT矿车
minecraft:torch,火把
minecraft:trapdoor,活板门
minecraft:trapped_chest,陷阱箱
minecraft:tripwire_hook,绊线钩
minecraft:wheat,小麦
minecraft:white_banner,白色旗帜
minecraft:white_bed,白色床
minecraft:white_carpet,白色地毯
minecraft:white_concrete_powder,白色混凝土粉末
minecraft:white_stained_glass,白色染色玻璃
minecraft:white_stained_glass_pane,白色染色玻璃板
minecraft:white_stained_hardened_clay,白色陶瓦
minecraft:wooden_axe,木斧
minecraft:wooden_button,木按钮
minecraft:wooden_door,木门
minecraft:wooden_hoe,木锄
minecraft:wooden_pickaxe,木镐
minecraft:wooden_pressure_plate,木质压力板
minecraft:wooden_shovel,木锹
minecraft:wooden_sword,木剑
minecraft:writable_book,书与笔
minecraft:yellow_banner,黄色旗帜
minecraft:yellow_bed,黄色床
minecraft:yellow_bed_from_white_bed,把白色床染色成黄色床
minecraft:yellow_carpet,黄色地毯
minecraft:yellow_concrete_powder,黄色混凝土粉末
minecraft:yellow_dye_from_dandelion,用蒲公英制作黄色染料
minecraft:yellow_dye_from_sunflower,用向日葵制作黄色染料
minecraft:yellow_stained_glass,黄色染色玻璃
minecraft:yellow_stained_glass_pane,黄色染色玻璃板
minecraft:yellow_stained_hardened_clay,黄色陶瓦
minecraft:yellow_wool,黄色羊毛
